"bNumber";"projectId";"sim_name";"bNumberEnable";"setMinutePerDay";"describe"
79118112622;3;;1;487;"Б номер: 79118112622 описание  487"
79116926621;3;;1;444;"Б номер: 79116926621 описание  444"
79110912587;3;;1;552;"Б номер: 79110912587 описание  552"
79110997213;3;;1;511;"Б номер: 79110997213 описание  511"
79112018223;3;;1;466;"Б номер: 79112018223 описание  466"
79114037771;;;1;427;"Б номер: 79114037771 описание  427"
79119826582;;;1;425;"Б номер: 79119826582 описание  425"
79110085589;;;1;584;"Б номер: 79110085589 описание  584"
79118608039;2;70501;1;502;"����� "
79119871626;2;70502;1;579;"����� "
79113786907;2;70503;1;586;"��� � ��"
79111447603;2;70504;0;555;"Б номер: 79111447603 описание  555"
79111572280;2;70505;1;544;"dfsgdfghsdfg"
79116803484;3;70506;1;525;"dsfghfgjhjgkfhgjk fgdhj"
79111704358;3;70507;1;410;"Б номер: 79111704358 описание  410"
79116489301;3;70508;1;488;"Б номер: 79116489301 описание  488"
79115630290;3;70509;1;548;"Б номер: 79115630290 описание  548"
79110076097;4;70510;1;476;"Б номер: 79110076097 описание  476"
79116255799;4;70511;1;486;"Б номер: 79116255799 описание  486"
79115423597;4;70512;1;470;"Б номер: 79115423597 описание  470"
79111553898;4;70513;1;548;"Б номер: 79111553898 описание  548"
79118546734;4;70514;1;435;"Б номер: 79118546734 описание  435"
79116484251;;70515;1;435;"Б номер: 79116484251 описание  435"
79112766618;;70516;1;591;"Б номер: 79112766618 описание  591"
79117718144;;70517;1;505;"Б номер: 79117718144 описание  505"
79119471632;;70518;1;586;"Б номер: 79119471632 описание  586"
79115984405;;70519;1;543;"Б номер: 79115984405 описание  543"
79116210128;;70520;1;434;"Б номер: 79116210128 описание  434"
79111352592;;70521;1;591;"Б номер: 79111352592 описание  591"
79114226441;;70522;1;576;"Б номер: 79114226441 описание  576"
79117476100;;70523;1;469;"Б номер: 79117476100 описание  469"
79110414082;;70524;0;515;"Б номер: 79110414082 описание  515"
79110934987;;70525;0;549;"Б номер: 79110934987 описание  549"
79113638682;;70526;1;527;"Б номер: 79113638682 описание  527"
79112602565;3;70527;1;414;"Б номер: 79112602565 описание  414"
79115260337;3;70528;1;405;"Б номер: 79115260337 описание  405"
79118471295;3;70529;1;545;"Б номер: 79118471295 описание  545"
79114833812;3;70530;1;510;"Б номер: 79114833812 описание  510"
79112071552;3;70531;1;409;"Б номер: 79112071552 описание  409"
79114350681;3;70532;1;463;"Б номер: 79114350681 описание  463"
79117822082;3;;1;573;"Б номер: 79117822082 описание  573"
79112148102;3;;1;436;"Б номер: 79112148102 описание  436"
79111132338;3;;1;499;"Б номер: 79111132338 описание  499"
79112621099;3;;1;554;"Б номер: 79112621099 описание  554"
79117164593;3;;1;500;"Б номер: 79117164593 описание  500"
79119754878;3;;1;452;"Б номер: 79119754878 описание  452"
79117341476;3;;1;565;"Б номер: 79117341476 описание  565"
79113141356;3;;1;482;"Б номер: 79113141356 описание  482"
79117405098;3;;1;489;"Б номер: 79117405098 описание  489"
79117852188;3;;1;471;"Б номер: 79117852188 описание  471"
79112900759;3;;1;407;"Б номер: 79112900759 описание  407"
79113553687;3;;1;525;"Б номер: 79113553687 описание  525"
79112492987;3;;1;583;"Б номер: 79112492987 описание  583"
79110329107;3;;1;564;"Б номер: 79110329107 описание  564"
79116080067;3;;1;482;"Б номер: 79116080067 описание  482"
79112273326;3;;1;445;"Б номер: 79112273326 описание  445"
79114179418;3;;1;584;"Б номер: 79114179418 описание  584"
79119582543;3;;1;436;"Б номер: 79119582543 описание  436"
79117777292;3;;1;448;"Б номер: 79117777292 описание  448"
79116574890;3;;1;457;"Б номер: 79116574890 описание  457"
79111459441;3;;1;595;"Б номер: 79111459441 описание  595"
79116951508;3;;1;479;"Б номер: 79116951508 описание  479"
79110788033;3;;1;567;"Б номер: 79110788033 описание  567"
79115123356;3;;1;521;"Б номер: 79115123356 описание  521"
79111444490;3;;1;559;"Б номер: 79111444490 описание  559"
79114909183;3;;;551;"Б номер: 79114909183 описание  551"
79114478888;3;;;506;"Б номер: 79114478888 описание  506"
79117325835;3;;;458;"Б номер: 79117325835 описание  458"
79113044717;3;;;459;"Б номер: 79113044717 описание  459"
79114061201;3;;;516;"Б номер: 79114061201 описание  516"
79113021480;3;;;446;"Б номер: 79113021480 описание  446"
79114843637;3;;;479;"Б номер: 79114843637 описание  479"
79116332394;3;;;510;"Б номер: 79116332394 описание  510"
79114466093;3;;;564;"Б номер: 79114466093 описание  564"
79111275324;3;;;508;"Б номер: 79111275324 описание  508"
79113335459;3;;;480;"Б номер: 79113335459 описание  480"
79111942841;3;;;477;"Б номер: 79111942841 описание  477"
79112925509;3;;;455;"Б номер: 79112925509 описание  455"
79112358566;3;;;416;"Б номер: 79112358566 описание  416"
79119388525;3;;;462;"Б номер: 79119388525 описание  462"
79111907979;3;;;571;"Б номер: 79111907979 описание  571"
79119498333;3;;;595;"Б номер: 79119498333 описание  595"
79111398996;3;;;556;"Б номер: 79111398996 описание  556"
79112390953;3;;;450;"Б номер: 79112390953 описание  450"
79111787167;3;;;475;"Б номер: 79111787167 описание  475"
79117604903;3;;;471;"Б номер: 79117604903 описание  471"
79111206097;3;;;422;"Б номер: 79111206097 описание  422"
79119740079;3;;;561;"Б номер: 79119740079 описание  561"
79111849266;3;;;532;"Б номер: 79111849266 описание  532"
79116970172;3;;;404;"Б номер: 79116970172 описание  404"
79116077283;3;;;467;"Б номер: 79116077283 описание  467"
79117879496;3;;;565;"Б номер: 79117879496 описание  565"
79114356268;3;;;553;"Б номер: 79114356268 описание  553"
79118125506;3;;;503;"Б номер: 79118125506 описание  503"
79119947336;3;;;415;"Б номер: 79119947336 описание  415"
79114838187;3;;;486;"Б номер: 79114838187 описание  486"
79116093051;3;;;462;"Б номер: 79116093051 описание  462"
79112875150;3;;;419;"Б номер: 79112875150 описание  419"
79115256026;3;;;591;"Б номер: 79115256026 описание  591"
79119326651;3;;;597;"Б номер: 79119326651 описание  597"
79111981653;3;;;501;"Б номер: 79111981653 описание  501"
79117050875;3;;;579;"Б номер: 79117050875 описание  579"
79110424712;3;;;577;"Б номер: 79110424712 описание  577"
79112047956;3;;;523;"Б номер: 79112047956 описание  523"
79114493445;3;;;479;"Б номер: 79114493445 описание  479"
79117103777;3;;;509;"Б номер: 79117103777 описание  509"
79110900084;3;;;568;"Б номер: 79110900084 описание  568"
79118436732;3;;;532;"Б номер: 79118436732 описание  532"
79110312317;3;;;480;"Б номер: 79110312317 описание  480"
79114548794;3;;;468;"Б номер: 79114548794 описание  468"
79117180868;3;;;580;"Б номер: 79117180868 описание  580"
79115716104;3;;;527;"Б номер: 79115716104 описание  527"
79117856876;3;;;576;"Б номер: 79117856876 описание  576"
79113382579;3;;;489;"Б номер: 79113382579 описание  489"
79118195939;3;;;547;"Б номер: 79118195939 описание  547"
79117299745;3;;;570;"Б номер: 79117299745 описание  570"
79115123831;3;;;439;"Б номер: 79115123831 описание  439"
79110101849;3;;;492;"Б номер: 79110101849 описание  492"
79110810698;3;;;587;"Б номер: 79110810698 описание  587"
79119252313;3;;;449;"Б номер: 79119252313 описание  449"
79113918220;3;;;506;"Б номер: 79113918220 описание  506"
79113941129;3;;;455;"Б номер: 79113941129 описание  455"
79118180669;3;;;600;"Б номер: 79118180669 описание  600"
79112123696;3;;;400;"Б номер: 79112123696 описание  400"
79116821414;3;;;496;"Б номер: 79116821414 описание  496"
79116346593;3;;;533;"Б номер: 79116346593 описание  533"
79116329776;3;;;434;"Б номер: 79116329776 описание  434"
79116180344;3;;;540;"Б номер: 79116180344 описание  540"
79119695961;3;;;490;"Б номер: 79119695961 описание  490"
79113247616;3;;;434;"Б номер: 79113247616 описание  434"
79115054444;3;;;548;"Б номер: 79115054444 описание  548"
79111032010;3;;;426;"Б номер: 79111032010 описание  426"
79112388935;3;;;581;"Б номер: 79112388935 описание  581"
79115137907;3;;;568;"Б номер: 79115137907 описание  568"
79110079151;3;;;565;"Б номер: 79110079151 описание  565"
79112178442;3;;;530;"Б номер: 79112178442 описание  530"
79116504650;3;;;581;"Б номер: 79116504650 описание  581"
79119008824;3;;;592;"Б номер: 79119008824 описание  592"
79114866054;3;;;453;"Б номер: 79114866054 описание  453"
79116304913;3;;;587;"Б номер: 79116304913 описание  587"
79111030297;3;;;487;"Б номер: 79111030297 описание  487"
79117054929;3;;;467;"Б номер: 79117054929 описание  467"
79117114475;3;;;517;"Б номер: 79117114475 описание  517"
79118858924;3;;;436;"Б номер: 79118858924 описание  436"
79112176052;3;;;471;"Б номер: 79112176052 описание  471"
79114173386;3;;;542;"Б номер: 79114173386 описание  542"
79112853642;3;;;540;"Б номер: 79112853642 описание  540"
79113509446;3;;;407;"Б номер: 79113509446 описание  407"
79114028234;3;;;575;"Б номер: 79114028234 описание  575"
79114126962;3;;;585;"Б номер: 79114126962 описание  585"
79110598736;3;;;446;"Б номер: 79110598736 описание  446"
79116106458;3;;;584;"Б номер: 79116106458 описание  584"
79112200383;3;;;567;"Б номер: 79112200383 описание  567"
79113772970;3;;;583;"Б номер: 79113772970 описание  583"
79111964862;3;;;420;"Б номер: 79111964862 описание  420"
79113005377;3;;;564;"Б номер: 79113005377 описание  564"
79116873485;3;;;552;"Б номер: 79116873485 описание  552"
79117982400;3;;;581;"Б номер: 79117982400 описание  581"
79118996275;3;;;417;"Б номер: 79118996275 описание  417"
79111511616;3;;;412;"Б номер: 79111511616 описание  412"
79115092482;3;;;531;"Б номер: 79115092482 описание  531"
79116346768;3;;;525;"Б номер: 79116346768 описание  525"
79110641928;3;;;424;"Б номер: 79110641928 описание  424"
79118450956;3;;;528;"Б номер: 79118450956 описание  528"
79111190437;3;;;568;"Б номер: 79111190437 описание  568"
79116357146;3;;;414;"Б номер: 79116357146 описание  414"
79113272422;3;;;578;"Б номер: 79113272422 описание  578"
79112545334;3;;;488;"Б номер: 79112545334 описание  488"
79117146049;3;;;509;"Б номер: 79117146049 описание  509"
79117832745;3;;;590;"Б номер: 79117832745 описание  590"
79116395058;3;;;561;"Б номер: 79116395058 описание  561"
79110135926;3;;;488;"Б номер: 79110135926 описание  488"
79116771203;3;;;529;"Б номер: 79116771203 описание  529"
79116757960;3;;;527;"Б номер: 79116757960 описание  527"
79114560091;3;;;416;"Б номер: 79114560091 описание  416"
79116142386;3;;;556;"Б номер: 79116142386 описание  556"
79110243571;3;;;550;"Б номер: 79110243571 описание  550"
79112930095;3;;;426;"Б номер: 79112930095 описание  426"
79113775169;3;;;488;"Б номер: 79113775169 описание  488"
79114191262;3;;;488;"Б номер: 79114191262 описание  488"
79116738978;3;;;541;"Б номер: 79116738978 описание  541"
79116385700;3;;;529;"Б номер: 79116385700 описание  529"
79119989808;3;;;472;"Б номер: 79119989808 описание  472"
79119664579;3;;;469;"Б номер: 79119664579 описание  469"
79113392760;3;;;513;"Б номер: 79113392760 описание  513"
79112617654;3;;;550;"Б номер: 79112617654 описание  550"
79113607660;3;;;467;"Б номер: 79113607660 описание  467"
79110930515;3;;;497;"Б номер: 79110930515 описание  497"
79117239392;3;;;419;"Б номер: 79117239392 описание  419"
79110183205;3;;;524;"Б номер: 79110183205 описание  524"
79115346716;3;;;458;"Б номер: 79115346716 описание  458"
79117642478;3;;;484;"Б номер: 79117642478 описание  484"
79110809423;3;;;464;"Б номер: 79110809423 описание  464"
79111209427;3;;;488;"Б номер: 79111209427 описание  488"
79116170071;3;;;411;"Б номер: 79116170071 описание  411"
79116301033;3;;;511;"Б номер: 79116301033 описание  511"
79112279588;3;;;470;"Б номер: 79112279588 описание  470"
79110864317;3;;;520;"Б номер: 79110864317 описание  520"
79117526118;3;;;404;"Б номер: 79117526118 описание  404"
79111430871;3;;;432;"Б номер: 79111430871 описание  432"
79117482208;3;;;512;"Б номер: 79117482208 описание  512"
79118797593;3;;;459;"Б номер: 79118797593 описание  459"
79111696611;3;;;589;"Б номер: 79111696611 описание  589"
79118466394;3;;;436;"Б номер: 79118466394 описание  436"
79116908090;3;;;595;"Б номер: 79116908090 описание  595"
79115843136;3;;;492;"Б номер: 79115843136 описание  492"
79119349698;3;;;513;"Б номер: 79119349698 описание  513"
79114941388;3;;;551;"Б номер: 79114941388 описание  551"
79113530177;3;;;467;"Б номер: 79113530177 описание  467"
79111405815;3;;;464;"Б номер: 79111405815 описание  464"
79113201660;3;;;597;"Б номер: 79113201660 описание  597"
79117406488;3;;;526;"Б номер: 79117406488 описание  526"
79115584922;3;;;423;"Б номер: 79115584922 описание  423"
79111603798;3;;;519;"Б номер: 79111603798 описание  519"
79119059626;3;;;467;"Б номер: 79119059626 описание  467"
79117349727;3;;;524;"Б номер: 79117349727 описание  524"
79114079345;3;;;556;"Б номер: 79114079345 описание  556"
79119599419;3;;;569;"Б номер: 79119599419 описание  569"
79113537110;3;;;537;"Б номер: 79113537110 описание  537"
79118033921;3;;;583;"Б номер: 79118033921 описание  583"
79115676029;3;;;417;"Б номер: 79115676029 описание  417"
79115397478;3;;;504;"Б номер: 79115397478 описание  504"
79110216978;3;;;516;"Б номер: 79110216978 описание  516"
79113147531;3;;;493;"Б номер: 79113147531 описание  493"
79117202511;3;;;467;"Б номер: 79117202511 описание  467"
79116850417;3;;;519;"Б номер: 79116850417 описание  519"
79113806376;3;;;526;"Б номер: 79113806376 описание  526"
79119370861;3;;;421;"Б номер: 79119370861 описание  421"
79114624325;3;;;477;"Б номер: 79114624325 описание  477"
79114977356;3;;;588;"Б номер: 79114977356 описание  588"
79115561890;3;;;479;"Б номер: 79115561890 описание  479"
79111895225;3;;;502;"Б номер: 79111895225 описание  502"
79112869569;3;;;444;"Б номер: 79112869569 описание  444"
79113619597;3;;;516;"Б номер: 79113619597 описание  516"
79112981505;3;;;567;"Б номер: 79112981505 описание  567"
79118101153;3;;;584;"Б номер: 79118101153 описание  584"
79114770406;3;;;571;"Б номер: 79114770406 описание  571"
79119029435;3;;;471;"Б номер: 79119029435 описание  471"
79116282205;3;;;511;"Б номер: 79116282205 описание  511"
79111823759;3;;;509;"Б номер: 79111823759 описание  509"
79113044184;3;;;509;"Б номер: 79113044184 описание  509"
79118840486;3;;;584;"Б номер: 79118840486 описание  584"
79118191601;3;;;501;"Б номер: 79118191601 описание  501"
79110051870;3;;;416;"Б номер: 79110051870 описание  416"
79112520270;3;;;574;"Б номер: 79112520270 описание  574"
79115050254;3;;;403;"Б номер: 79115050254 описание  403"
79111950374;3;;;507;"Б номер: 79111950374 описание  507"
79115619744;3;;;420;"Б номер: 79115619744 описание  420"
79116890243;3;;;546;"Б номер: 79116890243 описание  546"
79111616250;3;;;483;"Б номер: 79111616250 описание  483"
79117925327;3;;;527;"Б номер: 79117925327 описание  527"
79115104085;3;;;533;"Б номер: 79115104085 описание  533"
79118854982;3;;;504;"Б номер: 79118854982 описание  504"
79114126072;3;;;524;"Б номер: 79114126072 описание  524"
79113351598;3;;;451;"Б номер: 79113351598 описание  451"
79118387658;3;;;470;"Б номер: 79118387658 описание  470"
79117723458;3;;;468;"Б номер: 79117723458 описание  468"
79117434393;3;;;486;"Б номер: 79117434393 описание  486"
79117786858;3;;;472;"Б номер: 79117786858 описание  472"
79115180179;3;;;415;"Б номер: 79115180179 описание  415"
79115411557;3;;;403;"Б номер: 79115411557 описание  403"
79115218003;3;;;493;"Б номер: 79115218003 описание  493"
79118475147;3;;;566;"Б номер: 79118475147 описание  566"
79118175687;3;;;586;"Б номер: 79118175687 описание  586"
79116910458;3;;;485;"Б номер: 79116910458 описание  485"
79114034731;3;;;536;"Б номер: 79114034731 описание  536"
79114457155;3;;;538;"Б номер: 79114457155 описание  538"
79110303643;3;;;597;"Б номер: 79110303643 описание  597"
79115471957;3;;;552;"Б номер: 79115471957 описание  552"
79114952249;3;;;496;"Б номер: 79114952249 описание  496"
79117456742;3;;;440;"Б номер: 79117456742 описание  440"
79119787949;3;;;576;"Б номер: 79119787949 описание  576"
79112823303;3;;;503;"Б номер: 79112823303 описание  503"
79119756775;3;;;479;"Б номер: 79119756775 описание  479"
79110952547;3;;;571;"Б номер: 79110952547 описание  571"
79112364865;3;;;584;"Б номер: 79112364865 описание  584"
79119025762;3;;;552;"Б номер: 79119025762 описание  552"
79111292908;3;;;591;"Б номер: 79111292908 описание  591"
79110830337;3;;;511;"Б номер: 79110830337 описание  511"
79110694423;3;;;471;"Б номер: 79110694423 описание  471"
79110118168;3;;;459;"Б номер: 79110118168 описание  459"
79112584339;3;;;408;"Б номер: 79112584339 описание  408"
79115074896;3;;;531;"Б номер: 79115074896 описание  531"
79111794051;3;;;438;"Б номер: 79111794051 описание  438"
79113994178;3;;;480;"Б номер: 79113994178 описание  480"
79112256224;3;;;593;"Б номер: 79112256224 описание  593"
79116855659;3;;;535;"Б номер: 79116855659 описание  535"
79117120838;3;;;528;"Б номер: 79117120838 описание  528"
79110917249;3;;;554;"Б номер: 79110917249 описание  554"
79115434966;3;;;519;"Б номер: 79115434966 описание  519"
79112131628;3;;;464;"Б номер: 79112131628 описание  464"
79119013951;3;;;510;"Б номер: 79119013951 описание  510"
79119522831;3;;;427;"Б номер: 79119522831 описание  427"
79116795864;3;;;422;"Б номер: 79116795864 описание  422"
79115413838;3;;;401;"Б номер: 79115413838 описание  401"
79116041960;3;;;452;"Б номер: 79116041960 описание  452"
79112820967;3;;;453;"Б номер: 79112820967 описание  453"
79110119769;3;;;403;"Б номер: 79110119769 описание  403"
79114851829;3;;;502;"Б номер: 79114851829 описание  502"
79117273044;3;;;577;"Б номер: 79117273044 описание  577"
79111471459;3;;;534;"Б номер: 79111471459 описание  534"
79110881810;3;;;417;"Б номер: 79110881810 описание  417"
79116759303;3;;;504;"Б номер: 79116759303 описание  504"
79110152456;3;;;472;"Б номер: 79110152456 описание  472"
79111371077;3;;;589;"Б номер: 79111371077 описание  589"
79119244678;3;;;458;"Б номер: 79119244678 описание  458"
79118244261;3;;;529;"Б номер: 79118244261 описание  529"
79114138704;3;;;476;"Б номер: 79114138704 описание  476"
79118881970;3;;;552;"Б номер: 79118881970 описание  552"
79119834568;3;;;544;"Б номер: 79119834568 описание  544"
79117573018;3;;;502;"Б номер: 79117573018 описание  502"
79114002476;3;;;590;"Б номер: 79114002476 описание  590"
79110124327;3;;;517;"Б номер: 79110124327 описание  517"
79114569018;3;;;485;"Б номер: 79114569018 описание  485"
79119034290;3;;;567;"Б номер: 79119034290 описание  567"
79119371464;3;;;576;"Б номер: 79119371464 описание  576"
79119904081;3;;;593;"Б номер: 79119904081 описание  593"
79116979381;3;;;528;"Б номер: 79116979381 описание  528"
79119641531;3;;;500;"Б номер: 79119641531 описание  500"
79111808151;3;;;549;"Б номер: 79111808151 описание  549"
79110007267;3;;;409;"Б номер: 79110007267 описание  409"
79110113966;3;;;443;"Б номер: 79110113966 описание  443"
79112703247;3;;;467;"Б номер: 79112703247 описание  467"
79116097536;3;;;537;"Б номер: 79116097536 описание  537"
79117145552;3;;;594;"Б номер: 79117145552 описание  594"
79112697461;3;;;516;"Б номер: 79112697461 описание  516"
79113849215;3;;;440;"Б номер: 79113849215 описание  440"
79119607749;3;;;459;"Б номер: 79119607749 описание  459"
79118759750;3;;;502;"Б номер: 79118759750 описание  502"
79116135120;3;;;444;"Б номер: 79116135120 описание  444"
79113497244;3;;;481;"Б номер: 79113497244 описание  481"
79118591240;3;;;469;"Б номер: 79118591240 описание  469"
79119527648;3;;;410;"Б номер: 79119527648 описание  410"
79117331651;3;;;435;"Б номер: 79117331651 описание  435"
79119974156;3;;;463;"Б номер: 79119974156 описание  463"
79115584632;3;;;425;"Б номер: 79115584632 описание  425"
